"","merged_dataP[, 10]"
"GATC",6.12175418547063
"IFNAR2",7.26815280577722
"ATF5",5.96772315241969
"PTGR2 /// ZNF410",5.4298197082067
"GOLGA2",5.3729746212689
"MAGT1",6.94706905233951
"PHC3",3.48724127785918
"DPY30 /// MEMO1",7.30285958847546
"PAM",5.96685627027346
"UEVLD",4.60771207262614
"TMEM33",6.82722505212428
"POLR2E",7.05938254946325
"BICD1",3.96076983301073
"LDB1",5.25055486866347
"CAMTA1",8.11942574530232
"TBC1D5",8.85604204233738
"SLC35D1",4.77035022688305
"SNAPC3",5.22304629247218
"TM7SF3",7.91004940195597
"EXOC5",6.42535762420282
"SLC44A1",8.1077572243405
"KBTBD4",6.07703631390523
"REEP5",10.1711725197366
"PDSS1",5.01034434926807
"TSPAN31",8.01406056243924
"NSUN3",5.10528576213834
"TMED10",8.69776392930617
"NSG1",4.08701184422748
"TOR1A",8.11931300477409
"NCOA2",8.05195964721403
"SERPINB1",8.03667127540037
"LRCH3",3.94694072278702
"TRAPPC3",7.61822851454865
"TMEM50B",8.09470716402197
"SCAP",7.84341975714722
"RNF41",6.4427543123704
"MFF",8.60783866355155
"NUCKS1",8.38576720391089
"TBL1XR1",9.35088148132759
"BRD4",5.83523404898654
"RNFT1",4.70808742424778
"COPZ1",7.01505900434967
"MED23",5.25619727329365
"HIC2",4.1197879765797
"P4HB",6.23029923585044
"C8orf44-SGK3 /// SGK3",6.15020455621503
"DSTN",10.5400566000394
"SMIM14",7.3117204666633
"UBE2A",8.96364871360614
"WDTC1",5.1932069116313
"SUMO1",9.63421132736316
"GATC /// SRSF9",9.10213118590566
"PDE6D",4.66514136173577
"MBD3",5.62590308019872
"LOC101928378",5.52340340011177
"PRDM2",4.85798630498743
"PECR",4.81920843662201
"TAF1",4.72554903041775
"CD164",9.90750638488562
"MGAT3",5.60072952448828
"CALR",9.3078617317505
"COG5",7.58922588984006
"SMEK1",5.76598729613325
"SPTSSA",7.05206506507287
"SQSTM1",8.44389885964334
"ATF7",4.47832634269086
"GSTA4",7.27166405989989
"SSR1",8.42091474765269
"LINS",5.2784937563599
"MFSD11",7.0324235481293
"GAPDH",11.5569485506076
"YWHAZ",8.97185688719479
"THBS1",5.94438713908062
"SEC61B",8.40693551261945
"WDR41",7.76471207246578
"PDCD6IP",6.9576178847961
"CRTAP",7.34268678541848
"ERF",5.64611032869636
"TAF15",6.3547023939679
"COMMD10",7.9288846700131
"RHEB",6.41183886571447
"HTRA2",7.07477229736667
"SDHC",7.82696543219693
"DAD1",9.78642736847964
"ITSN1",6.90993211647236
"HFE",3.44195997693414
"CALU",7.73626264828879
"MED13L",6.65526431024872
"LMF2",6.198033883259
"CLCN3",5.8773176992492
"SP140L",4.76275918250323
"MORF4L1",10.9755716870409
"CNOT8",8.03628696084879
"SH3BGRL",9.19785986586654
"ATP6V1F /// LOC101927180",8.53367221046924
"PLEKHM2",4.791000324862
"WASF2",7.68129266760272
"MED6",6.34824983864638
"OPTN",9.1791232052235
"TEX264",5.68603552810628
"SLC25A11",8.05282545084895
"PGAM1",9.70249824890667
"PDE8A",6.91238160271193
"RBM14",7.31677011190327
"TMOD3",4.79571061115672
"FKBP1A /// LOC101929368",5.76397700494157
"ACYP2 /// LOC101927144",5.81074364062961
"GGCX",8.99739045106629
"HAUS5",5.39789348678984
"SEC63",6.95634071094749
"MTRR",8.41783684349134
"RMND1",7.92698293134219
"SREK1IP1",6.19287545270499
"SLC1A4",4.69963157251388
"EIF5B",6.09855384437288
"COMMD4",5.75861698319942
"TMEM259",6.22909827473727
"CLASP2",7.4988193771714
"HIPK2",7.51406789901737
"CNIH1",7.28584805079378
"SPAG8",3.88237685145324
"CDC73",5.69845850427028
"RNFT1 /// TBC1D3P1-DHX40P1",3.65689031785564
"LAMTOR5",8.76752519395188
"RAB8B",6.57893222695491
"SLC43A1",4.02274331984643
"ZMYM6",4.46590096209702
"SSR3",7.38101189251009
"RP1-130G2.1",3.66777204311263
"LIMS1 /// LIMS3 /// LIMS3L",7.61547048937229
"ARL17A /// ARL17B /// LOC100294341",4.66919309203121
"C2orf49",6.9123561957056
"C19orf10",6.5125071621839
"DYNLRB1",9.53827321696946
