"","merged_dataA[, 1]"
"SLC25A16",8.44580877414308
"RPL38",10.8695147873835
"DFFA",8.73905212028644
"CHTOP",6.58721478882051
"RPRD2",6.74370701274716
"RBP4",7.0799458942547
"PER2",5.32961962091664
"SLC16A1",6.38564429679451
"PTPRA",6.8922939205586
"PIAS2",6.32575011725589
"LMAN1",5.6073937602182
"FLI1",6.02795515007
"MTSS1L",5.40678444739383
"SQSTM1",7.91485211794142
"HSF1",7.5067089559841
"SGCB",5.1426414965771
"GJC1",5.62491389813648
"OSGIN2",6.64137401818934
"GRIK1",5.58036603332359
"WIPI2",8.60067520029008
"DDX52",4.82057889010331
"GNG11",6.3932475536824
"S100A8",8.6141792325925
"LPCAT3",6.76472843344358
"LRRC14",4.99638056831148
"PTPN9",6.62187806500855
"SFN",7.67772677806283
"SYMPK",6.22505904863424
"TMED1",7.20400283962351
"BCL6",8.17042953210994
"FCGR1A /// FCGR1B /// FCGR1C",7.0664132531422
"DDX11",6.35466368480009
"ACLY",7.76832356499265
"LRRC41",7.18543575116768
"CRCP",8.16796768464969
"SBNO2",7.36772685546959
"EGFR",6.82790464936173
"KLHL20",5.21653086388026
"LTN1",5.96796558898427
"SRY",5.403744801907
"ZNF3",6.35508555976281
"CCSER2",6.8865304129333
"MTMR2",7.8722225280113
"ALDH3A2",8.13332490650601
"DNAH3",7.79153713121974
"NDST1",7.3219576291883
"SMARCD1",7.66430731623623
"PANX1",6.15723716433132
"PHKA2",6.87120424169687
"OPHN1",7.92052242351382
"DDX6",6.89881014463779
"GALR3",7.9184048738975
"SOCS3",7.27280488165972
"CEACAM3",7.89542694971434
"ST18",3.98713621571217
"SUMO3",7.73722593185101
"HNRNPD",7.76602883571323
"CDC14B",6.98715755377243
"ELF3",6.52914035032261
"CNTNAP2",6.00470979676875
"BCR",7.26590374299627
"LRPAP1",9.48069641552637
"CASP1",8.00192417224118
"CDK12",7.12842475693534
"ATP4B",6.84165403197072
"WASL",6.85439054730663
"RASA3",6.56174712996939
"TRIO",5.76454078846179
"PSMB2",7.06197746131845
"NEO1",6.43998823673037
"LTK",7.23772936366582
"N4BP2L2",5.68335249699488
"ACTA2",6.93963885305651
"RECK",5.99115355558073
"BCL2L2-PABPN1 /// PABPN1",7.92406252172314
"ARIH2",7.14939679633371
"ADCYAP1R1",6.28451146571963
"TFE3",7.46537344043256
"ESRRA",7.29614441348052
"BTRC",6.53365325126582
"ABCG1",5.63052297322428
"GALK2",6.85893523522263
"PAPSS2",7.15358415834414
"LIMK2",7.19583846929806
"C15orf39",7.36986299975928
"SLC11A1",4.66792390946639
"HFE",5.64535904097093
"QSOX1",7.60232771256875
"CFTR",6.97587270018908
"KLRC3",4.40876718659073
"TCF3",8.12106450508341
