"","merged_dataP[, 1]"
"GATC",6.46138265589446
"IFNAR2",7.12790054061462
"ATF5",5.55386318166512
"PTGR2 /// ZNF410",6.16415996025147
"GOLGA2",5.62009517835433
"MAGT1",7.64801899775694
"PHC3",4.46226742200899
"DPY30 /// MEMO1",6.72961146709293
"PAM",6.92334655295387
"UEVLD",5.35762209958993
"TMEM33",6.44095596993371
"POLR2E",7.81697620481929
"BICD1",3.96076983301073
"LDB1",5.29728800367222
"CAMTA1",8.25868413863545
"TBC1D5",8.35328935772619
"SLC35D1",4.77035022688305
"SNAPC3",5.22304629247218
"TM7SF3",8.01132138985462
"EXOC5",6.36434689813398
"SLC44A1",7.35443332810696
"KBTBD4",7.19517052443732
"REEP5",10.3038234747509
"PDSS1",4.58500991460119
"TSPAN31",8.21025413498609
"NSUN3",5.10528576213834
"TMED10",9.00309899179318
"NSG1",6.36057245866257
"TOR1A",8.49374322802633
"NCOA2",7.32441915708832
"SERPINB1",8.03667127540037
"LRCH3",5.12826129372715
"TRAPPC3",8.24034002638614
"TMEM50B",7.49113085925991
"SCAP",6.65124768096764
"RNF41",6.17997787337524
"MFF",8.85781457764508
"NUCKS1",8.48788044288904
"TBL1XR1",8.389855664928
"BRD4",5.83202893172032
"RNFT1",5.77870046516786
"COPZ1",7.68552250539273
"MED23",5.95773008452574
"HIC2",4.1197879765797
"P4HB",7.53970141921498
"C8orf44-SGK3 /// SGK3",5.41359229269253
"DSTN",10.8818984840013
"SMIM14",7.12901592454525
"UBE2A",8.66473998530537
"WDTC1",5.4497557517312
"SUMO1",9.72091706567445
"GATC /// SRSF9",9.07663640808804
"PDE6D",4.75723993626506
"MBD3",5.41361183858034
"LOC101928378",5.52683671431704
"PRDM2",4.40422351110011
"PECR",5.94169040403092
"TAF1",4.27682068928625
"CD164",9.86000285615036
"MGAT3",4.43274797906472
"CALR",9.6505376680158
"COG5",7.80394402938905
"SMEK1",5.3716769424442
"SPTSSA",6.9398794717126
"SQSTM1",7.64798681788266
"ATF7",4.48416848511563
"GSTA4",7.50758333508087
"SSR1",8.0412536893028
"LINS",5.19115004712061
"MFSD11",7.0324235481293
"GAPDH",12.350102552487
"YWHAZ",8.78153482557586
"THBS1",5.3028484896613
"SEC61B",8.85993584769113
"WDR41",7.30281767439416
"PDCD6IP",7.20400520711612
"CRTAP",7.22729496254198
"ERF",5.59011626480301
"TAF15",6.78144376131136
"COMMD10",7.75677838812068
"RHEB",6.51792340740108
"HTRA2",6.2242309438188
"SDHC",8.89731710796175
"DAD1",9.52763168574916
"ITSN1",7.67422260069289
"HFE",3.51620770919878
"CALU",7.8694552958102
"MED13L",5.60056271349746
"LMF2",6.02531976981168
"CLCN3",5.71071416413584
"SP140L",4.46687468446992
"MORF4L1",10.8438320912818
"CNOT8",8.02382522027007
"SH3BGRL",9.83480793386194
"ATP6V1F /// LOC101927180",9.17827490069168
"PLEKHM2",4.71214470321262
"WASF2",6.89614941023353
"MED6",6.58964115075586
"OPTN",8.70971392848204
"TEX264",5.92893666734155
"SLC25A11",8.46852329729674
"PGAM1",9.99610290417317
"PDE8A",6.77618694354924
"RBM14",8.73947117714356
"TMOD3",4.59293860979502
"FKBP1A /// LOC101929368",5.76919673393764
"ACYP2 /// LOC101927144",5.88436675862499
"GGCX",9.08667962340536
"HAUS5",5.58535567775135
"SEC63",6.97542199882341
"MTRR",7.91673706900141
"RMND1",7.48164851080688
"SREK1IP1",5.7622569768865
"SLC1A4",5.85801704042895
"EIF5B",6.776782424451
"COMMD4",6.36409901778104
"TMEM259",6.22909827473727
"CLASP2",6.51021210935356
"HIPK2",7.68279130298466
"CNIH1",7.66911808933958
"SPAG8",3.88237685145324
"CDC73",4.76067208096202
"RNFT1 /// TBC1D3P1-DHX40P1",3.74807549350083
"LAMTOR5",10.3786466118254
"RAB8B",6.1015361176363
"SLC43A1",4.64053222959637
"ZMYM6",4.60421694227042
"SSR3",7.87656317599462
"RP1-130G2.1",4.11307063960492
"LIMS1 /// LIMS3 /// LIMS3L",7.95100461383234
"ARL17A /// ARL17B /// LOC100294341",4.63209091984279
"C2orf49",6.93198808263842
"C19orf10",6.61374374471825
"DYNLRB1",10.0943940476599
"MDFIC",4.84836398874537
"SLC15A2",6.3328512309512
"HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4",3.36095287858494
"BMPR2",4.82508939400511
"PIK3CG",4.54248211750631
"SKI",4.8038788905104
"RNF170",6.25624471634627
"RNF38",4.87858822428368
"PFDN1",7.15264322915513
"ENSA",9.14068111458651
"UBE2G1",7.64667242106127
"NNT",7.04325754991044
"EIF5",8.72994946715968
"CNIH4",7.23112817997209
"MIR636 /// SRSF2",9.50144518010886
"AURKAIP1",6.16334279971187
"C16orf95",6.02606574651647
"TOX4",7.18405242590578
"NDUFA4L2",4.49280675955105
"HNRNPC",8.22250080270224
"ME2",8.29849480112
"CAT",8.68136342315653
"PLEKHF2",7.01157990753414
"PRRC1",8.08036279599562
"GSTM4",5.46005570923014
"HSPA5",8.55817539759036
"SLC35A2",7.25438427387064
"SEP15",9.70040998760087
"MYL12A",5.44628972526695
"PKP4",8.44562106405452
"ASAP1",5.4350674842884
"MPHOSPH8",7.99275438440723
"GATA2",5.58427993409224
"EIF6",8.65626958043734
"TMEM19",6.48825867641331
"MED16",4.86896112761227
"GTF2H2 /// GTF2H2B /// GTF2H2C /// GTF2H2C_2",7.04894449101268
"RPRD1A",6.67300100614097
